x,y,z
4409206.97,5625276.39,514.89
4409212.8,5625271.45,511.12
4409244.79,5625304.82,508.08
4409254.4,5625297.39,504.75
4409268.13,5625293.18,506.33
4409287.01,5625298.03,503.84
4409270.32,5625278.62,509.82
4409285.06,5625211.49,522.69
4409296.27,5625217.47,518.01
4409309.26,5625226.2,511.46
4409329.78,5625238.32,504.15
4409344.63,5625246.16,500.35
4409335.91,5625311.88,494.18
4409346.5,5625334.33,494.01
4409339.83,5625334.53,493.72
4409346.41,5625331.99,494.11
4409352.97,5625331.01,495.07
4409351.64,5625325.37,495.32
4409357.31,5625324.11,494.32
4409352.92,5625341.47,494.49
4407895.01,5625426.81,528.64
4409326.26,5625330.85,494.88
4409338.92,5625329.44,495.08
4409357.98,5625339.77,494.78
4407902.54,5625409.53,528.12
4409365.75,5625342.71,495.53
4409370.41,5625345.14,495.45
4409375.39,5625298.38,495.52
4409385.56,5625302.8,496.5
4409391.65,5625308.59,496.43
4407881.35,5625417.43,528.14
4409379.09,5625285.68,496.67
4409380.83,5625280.85,495.32
4409382.99,5625278.41,495.39
4407872.63,5625420.83,528.11
4409378.07,5625273.99,496.94
4409388.37,5625279.45,495.52
4409389.31,5625281.94,495.36
4407853.16,5625428.59,528.11
4409386.86,5625283.96,495.99
4409392.6,5625285.06,496.59
4409390.79,5625291.29,496.56
4407846.88,5625432.37,528.1
4409381.48,5625288.62,496.39
4409389.79,5625272.59,496.35
4409394.57,5625275.94,496.95
4407829.8,5625440.48,528.11
4409393.75,5625266.76,496.8
4409397.29,5625278.67,496.18
4409407.75,5625281.38,495.74
4407834.81,5625437.35,528.11
4409413.47,5625279.46,497.1
4409417.72,5625277.24,497.06
4409411.77,5625276.02,497.62
4409407.89,5625276.75,497.67
4407892.7,5625411.05,528.14
4409409.26,5625286.36,497.41
4409407.82,5625287.64,497.45
4409400.52,5625285.68,497.47
4409398.18,5625282.3,497.11
4409412.77,5625285.55,497.14
4409423.05,5625285.87,497.33
4409420.9,5625283.63,496.08
4409420.89,5625281.45,496.06
4409420.82,5625278.69,496.98
4409440.54,5625274.43,496.54
4409434.45,5625270.93,497.57
4409437.82,5625277.32,496.39
4409443.28,5625280.27,497.67
4409421.96,5625262.42,497.52
4409429.14,5625266.19,496.94
4409421.05,5625259.91,497.73
4409415.36,5625255.48,497.28
4409472.39,5625255.56,498.35
4409473.75,5625254.49,497.1
4409459.09,5625247.59,497.24
4409461.09,5625246.71,498.73
4409460.83,5625243.54,497.75
4409452.45,5625238.21,497.61
4409444.92,5625234,498.27
4409445,5625232.08,498.37
4409437.3,5625227.13,497.76
4409470.28,5625202.38,499.04
4409470.83,5625205.41,499.02
4409477.68,5625208.06,498.33
4409485.38,5625215.54,497.97
4409491.6,5625219.6,498.98
4409498.44,5625221.21,497.91
4409499.42,5625224.89,497.87
4409502.04,5625227.09,499.24
4409508.37,5625225.94,499.1
4409502.68,5625222.74,498.5
4409509.41,5625218.78,499.25
4409502.76,5625217.51,498.18
4409519.45,5625195.29,499.49
4409525.11,5625197.35,498.48
4409526.51,5625200.82,498.44
4409530.67,5625202.56,500.04
4409540.66,5625209.42,500.6
4409539.59,5625205.19,500.26
4409541.36,5625193.14,500.77
4409548.56,5625167.67,500.41
4409554.3,5625169.46,498.95
4409553.21,5625171.44,498.99
4409559.7,5625173.93,501.01
4409563.05,5625176.08,501.29
4409565.34,5625178.55,503.21
4409568.11,5625180.61,503.47
4409544.34,5625161.92,499.88
4409512.61,5625140.68,500.54
4409520.28,5625144.87,500.59
4409519.83,5625148.17,500.62
4409528.68,5625151.13,499.57
4409505.02,5625129.86,500.67
4409489.79,5625115.26,506.42
4409474.75,5625094.86,513.45
4409458.48,5625070.94,522.55
4409409.56,5625091.98,524.34
4409413.69,5625096.44,523.19
4409427.47,5625108.73,516.92
4409395.98,5625129.56,518.2
4409386.35,5625118.44,522.83
4409381.78,5625113.15,523.82
4409340.21,5625146.83,523.29
4409353.23,5625155.55,517.9
4409312.81,5625168.19,523.89
4409318.31,5625171.75,522.94
4409341.89,5625188.6,512.2
4409405.62,5625249.62,496.86
4409387.4,5625247.1,498.29
4409381.35,5625245.22,499.54
4409375.48,5625243.06,499.38
4409376.87,5625223.24,502.35
4409314.22,5625316.31,499.11
4409324.14,5625315.23,496.93
4409313.89,5625328.17,498.55
4409320.41,5625330.2,497.86
4409323.42,5625343.99,496.92
4409330.09,5625343.94,495.08
4409311.66,5625347.65,498.08
4409344.04,5625359.43,493.21
4409349.82,5625358.94,493.95
4409378.5,5625350.1,495.33
4409402.8,5625366.97,495.34
4409434.93,5625367.71,513.56
4409443.65,5625361.59,514.4
4409452.49,5625370.36,524.77
4409449.34,5625355.6,515.64
4409454.25,5625348.38,515.39
4409461.82,5625349.94,524.61
4409468.35,5625355.03,527.09
4409462.3,5625340.25,515.78
4409468.84,5625334.95,515.09
4409474.68,5625340.13,524.65
4409480.73,5625345.85,526.65
4409473.87,5625328.32,515.93
4409479.52,5625331.75,524.83
4409485.9,5625336.01,526.72
4409484.01,5625317.22,515.63
4409485.87,5625314.74,516.38
4409493.66,5625322.85,524.66
4409501.48,5625275.73,505.65
4409517.06,5625281.88,517.4
4409525.05,5625287.08,524.59
4409527.63,5625286.93,526.29
4409521.03,5625270.56,513.17
4409525.73,5625261.7,513.69
4409533.96,5625277.18,524.63
4409539.66,5625266.27,524.73
4409535.61,5625244.68,513.51
4409547.84,5625254.23,524.85
4409551.55,5625212.44,508.47
4409563.91,5625219.52,518.37
4409571.93,5625224.11,524.75
4409574.3,5625223.87,525.9
4409589.07,5625202.1,526.12
4409588.14,5625198.26,524.61
4409577.73,5625191.62,514.64
4409456.7,5625065.01,523.83
4409446.97,5625132.81,508.66
4409438.74,5625175.97,502.37
4409417.14,5625154.56,508.69
4409468.64,5625152.98,502.31
4409476.53,5625158.44,499.74
4409495.79,5625172.68,499.83
4409494.64,5625175.97,499.86
4409501.73,5625178.96,499.05
4409488.35,5625170.79,499.39
4409513.77,5625186.89,498.98
4409458.76,5625193.96,498.78
4409421.27,5625214.22,498.28
4409374.53,5625174.44,510.51
4409407.93,5625202.97,502.43
4409378.72,5625261.08,497.21
4409355.62,5625203.74,507.35
4409627.3,5625121.98,502.42
4409775.56,5624834.3,508.62
4409756.64,5624735.86,510.06
4409738.88,5624765.91,509.45
4409503.41,5625049.77,524.01
4409505.11,5625053.74,523.04
4409510.11,5625062.77,519.45
4409521.12,5625076.89,511.78
4409529.45,5625033.01,524.04
4409530.47,5625037.26,522.64
4409544.07,5625050.41,514
4409555.93,5625006.33,523.59
4409560.88,5625011.47,522.56
4409568.34,5625017.32,518.38
4409579.75,5625026.96,512.61
4409580.95,5624979.47,525
4409584.73,5624982.65,524.27
4409593.73,5624992.74,518.26
4409593,5624974.82,523.95
4409597.66,5624967.29,523.85
4409605.99,5625004.82,511.91
4409625.99,5624986.25,511.91
4409603.2,5624955.1,523.59
4409611.25,5624968.43,518.2
4409616.78,5624938.1,522.6
4409625.39,5624936.87,522.54
4409625.19,5624934.46,522.38
4409621.92,5624932.14,523.81
4409627.77,5624927.66,523.08
4409624.88,5624943.44,519.66
4409642.13,5624956.2,513.35
4409627.74,5624912.31,523.72
4409633.08,5624916.33,522.5
4409646.71,5624926.14,516.51
4409644.5,5624905.4,522.68
4409647.25,5624890.88,523.93
4409654.88,5624892.13,522.82
4409666.79,5624901.56,515.94
4409662.33,5624882.94,522.67
4409683.78,5624881.49,511.54
4409691.47,5624883.88,506.98
4409674.45,5624876.19,517.86
4409667.87,5624871.75,522.54
4409660.64,5624870.48,523.62
4409533.21,5625091.33,505.6
4409539.15,5625099.7,502.09
4409544.54,5625105.87,501.04
4409550.55,5625110.33,501.41
4409549.74,5625113.34,501.51
4409556.23,5625116.78,500.53
4409474.07,5625059.3,522.69
4409659,5624936.59,510.68
4409665.08,5624940.16,508.04
4409674.63,5624942.51,505.48
4409680.27,5624945.7,505.88
4409681.3,5624947.45,506.06
4409689.06,5624949.76,505.1
4409651.84,5624966.51,509.07
4409657.86,5624968.98,505.21
4409665.07,5624974.13,505.26
4409665.19,5624977.46,505.41
4409673.37,5624981.74,504.36
4409633.66,5624996,507.82
4409639.53,5624998.54,504.57
4409646.04,5625001.17,504.59
4409645.11,5625004.63,504.66
4409653.16,5625007.51,504.09
4409559.79,5625066.36,507.86
4409568.29,5625073.98,502.22
4409572.21,5625079.93,502.33
4409576.36,5625083.67,502.18
4409582.99,5625086.75,501.43
4409596.44,5625043.62,503.52
4409602.67,5625049.71,503.18
4409602.65,5625052.22,503.27
4409610.77,5625054.77,502.6
4409619.58,5625020.38,505
4409620.36,5625022.26,504.03
4409626.47,5625023.72,504.01
4409625.22,5625027.21,504.05
4409632.44,5625030.1,503.52
4409614.7,5625015.43,507.66
4409672.62,5624907.05,509.1
4409685.17,5624910.24,506.29
4409689.47,5624913.97,506.56
4409694.87,5624916.2,506.58
4409703.5,5624921.41,505.73
4409714.29,5624897.13,506.32
4409705.59,5624895.08,507.12
4409705.57,5624892.98,507.09
4409698.14,5624890.48,506.55
4409714.28,5624862.99,507.83
4409719.47,5624865.66,507.85
4409728.94,5624868.39,506.82
4409708.76,5624860,507.44
4409700.67,5624854.83,507.66
4409722.96,5624826.88,508.56
4409725.03,5624829.77,508.54
4409730.77,5624828.97,508.44
4409731.32,5624827.33,508.53
4409734.18,5624812.35,508.58
4409742.39,5624813.62,509.05
4409741.72,5624815.33,509.08
4409749.45,5624818.35,508.6
4409752.05,5624769.7,509.08
4409761.18,5624775.52,509.95
4409760.32,5624773.64,510.06
4409768.93,5624778.48,509.42
4409775.85,5624784.4,508.64
4409782.27,5624785.43,507.65
4409780.94,5624787.74,507.68
4409787.24,5624788.44,509.08
4409799.04,5624797.08,514.28
4409795.45,5624794.55,513.82
4409790.38,5624791.1,509.65
4409812.15,5624776.08,519.22
4409825.66,5624774.7,520.09
4409809.96,5624761.52,510.54
4409804.4,5624759.02,510.21
4409801.73,5624756.74,508.22
4409798.71,5624755.39,508.1
4409791.7,5624754.89,509.68
4409829.63,5624786.37,524.59
4409806.3,5624804.05,519.08
4409818.03,5624812.19,524.47
4409775.35,5624826.33,508.91
4409787.64,5624833.23,511.48
4409798.27,5624838.88,515.27
4409808.88,5624844.64,525.93
4409815.86,5624847.11,526.9
4409795.23,5624899.03,516.59
4409808,5624899.88,524.49
4409806.72,5624916.17,524.47
4409800.31,5624935.86,524.65
4409786.87,5624932.23,514.97
4409772.96,5624926.02,506.96
4409761.68,5624952.2,506.76
4409777.22,5624958.42,516.35
4409788.04,5624965.41,524.62
